"String ID","Source text","Translation","Context","Path","Filename"
"178","point four","virgule quatre","","SYSTEM","0171.wav"
"179","point five","virgule cinq","","SYSTEM","0172.wav"
"180","point six","virgule six","","SYSTEM","0173.wav"
"181","point seven","virgule sept","","SYSTEM","0174.wav"
"182","point eight","virgule huit","","SYSTEM","0175.wav"
"183","point nine","virgule neuf","","SYSTEM","0176.wav"
"184","trim center","trim centré","","SYSTEM","midtrim.wav"
"185","maximum trim reached","trim maximum atteint","","SYSTEM","maxtrim.wav"
"186","minimum trim reached","trim minimum atteint","","SYSTEM","mintrim.wav"
"187","timer 1 elapsed","minuteur un écoulé","","SYSTEM","timovr1.wav"
"188","timer 2 elapsed","minuteur deux écoulé","","SYSTEM","timovr2.wav"
"189","timer 3 elapsed","minuteur trois écoulé","","SYSTEM","timovr3.wav"
"190","transmitter battery low","batterie émetteur faible","","SYSTEM","lowbatt.wav"
"191","inactivity alarm","alarme d'inactivité","","SYSTEM","inactiv.wav"
"192","throttle warning","alerte gaz","","SYSTEM","thralert.wav"
"193","switch warning","alerte interrupteur","","SYSTEM","swalert.wav"
"194","bad eeprom","E E P R O M corrompue","","SYSTEM","eebad.wav"
"195","Welcome to EdgeTX","Bienvennue sur Edgetéhix Mathys","","SYSTEM","hello.wav"
"196","RF signal low","signal radio faible","","SYSTEM","rssi_org.wav"
"197","RF signal critical","signal radio critique","","SYSTEM","rssi_red.wav"
"198","radio antenna defective","antenne radio défectueuse","","SYSTEM","swr_red.wav"
"199","telemetry lost","télémétrie perdue","","SYSTEM","telemko.wav"
"200","telemetry recovered","télémétrie récupérée","","SYSTEM","telemok.wav"
"201","Trainer connected","formateur connecté","","SYSTEM","trainco.wav"
"202","trainer signal lost","signal formateur perdu","","SYSTEM","trainko.wav"
"203","trainer signal recovered","signal formateur récupéré","","SYSTEM","trainok.wav"
"204","sensor lost","capteur perdu","","SYSTEM","sensorko.wav"
"205","servo overload","surcharge servo","","SYSTEM","servoko.wav"
"206","power overload","surcharge puissance","","SYSTEM","rxko.wav"
"207","receiver still connected","récepteur encore connecté","","SYSTEM","modelpwr.wav"
"208","armed","armé","","","armed.wav"
"209","disarmed","désarmé","","","disarm.wav"
"210","throttle cut","gaz coupé","","","thrcut.wav"
"211","throttle active","gaz actif","","","thract.wav"
"212","gear up","train rentré","plane","","gearup.wav"
"213","gear down","train baissé","plane","","geardn.wav"
"214","flaps up","vollets relevés","plane","","flapup.wav"
"215","flaps down","vollets baissés","plane","","flapdn.wav"
"216","spoiler up","spoiler relevé","","","splrup.wav"
"217","spoiler down","spoiler baissé","","","splrdn.wav"
"218","trainer on","formateur activé","","","trnon.wav"
"219","trainer off","formateur coupé","","","trnoff.wav"
"220","engine off","moteur coupé","","","engoff.wav"
"221","too high","trop élevé","","","tohigh.wav"
"222","too low","trop bas","","","tolow.wav"
"223","low battery","batterie faible","","","lowbat.wav"
